id,time,stress
1,Before,67
1,After,70
2,Before,84
2,After,72
3,Before,73
3,After,85
4,Before,75
4,After,61
5,Before,66
5,After,68
6,Before,81
6,After,74
7,Before,75
7,After,72
8,Before,67
8,After,86
9,Before,75
9,After,56
10,Before,77
10,After,68
11,Before,63
11,After,70
12,Before,63
12,After,66
13,Before,66
13,After,58
14,Before,78
14,After,73
15,Before,62
15,After,82
16,Before,75
16,After,69
17,Before,79
17,After,79
18,Before,78
18,After,77
19,Before,76
19,After,71
20,Before,69
20,After,68
21,Before,66
21,After,70
22,Before,61
22,After,89
23,Before,81
23,After,63
24,Before,68
24,After,68
25,Before,78
25,After,71
26,Before,74
26,After,71
27,Before,71
27,After,82
28,Before,70
28,After,49
29,Before,67
29,After,71
30,Before,61
30,After,61
31,Before,73
31,After,68
32,Before,53
32,After,61
33,Before,63
33,After,70
34,Before,62
34,After,64
35,Before,58
35,After,47
36,Before,78
36,After,77
37,Before,41
37,After,71
38,Before,61
38,After,48
39,Before,61
39,After,59
40,Before,55
40,After,57
41,Before,48
41,After,66
42,Before,65
42,After,49
43,Before,73
43,After,63
44,Before,54
44,After,66
45,Before,70
45,After,62
46,Before,62
46,After,63
47,Before,60
47,After,62
48,Before,52
48,After,59
49,Before,49
49,After,44
50,Before,80
50,After,76
51,Before,56
51,After,57
52,Before,59
52,After,69
53,Before,66
53,After,64
54,Before,65
54,After,69
55,Before,74
55,After,55
56,Before,67
57,Before,76
58,Before,59
59,Before,71
60,Before,76
61,Before,74
62,Before,72
63,Before,66
64,Before,65
65,Before,63
66,Before,72
67,Before,64
68,Before,68
69,Before,69
70,Before,86
71,Before,66
72,Before,73
73,Before,72
74,Before,64
75,Before,71
76,Before,83
77,Before,75
78,Before,72
79,Before,68
80,Before,55
81,Before,81
82,Before,60
83,Before,77
84,Before,87
85,Before,60
86,Before,77
87,Before,69
88,Before,59
89,Before,59
90,Before,59
91,Before,67
92,Before,60
93,Before,77
94,Before,88
95,After,51
96,After,68
97,After,68
98,After,64
99,After,53
100,After,61
101,After,59
102,After,66
103,After,59
104,After,69
105,After,59
106,After,70
107,After,53
108,After,51
109,After,87
110,After,58
111,After,64
112,After,67
113,After,58
114,After,66
115,After,64
116,After,60
117,After,62
118,After,61
119,After,79
120,After,56
121,After,53
122,After,62
123,After,64
124,After,65
125,After,58
126,After,53
127,After,72
128,After,59
129,After,55
130,After,60
131,After,60
132,After,70
133,After,62
134,After,68
135,After,58
136,After,63
137,After,59
138,After,62
139,After,54
140,After,51
141,After,77
142,After,66
